title,company,location,experience,salary,url,tags,source
Senior Data Analyst - Cx,IDFC FIRST Bharat,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-senior-data-analyst-cx-idfc-first-bank-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-7-years-260624500492,"['Test strategy', 'Analytical', 'Manager Technology', 'Data structures', 'Deployment', 'Data analytics', 'Data Analyst', 'Management']",Naukri.com
Data Scientist,Wipro,Hybrid - Bengaluru,3-6 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-scientist-wipro-limited-bengaluru-3-to-6-years-260624908497,"['Data Science', 'ELK', 'statistical modelling', 'Springboot', 'NodeJs', 'Powershell Scripting', 'SQL', 'Modeling']",Naukri.com
Data Scientist,Wipro,Hybrid - Bengaluru,3-6 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-scientist-wipro-limited-bengaluru-3-to-6-years-260624908487,"['Data Science', 'ELK', 'statistical modelling', 'Springboot', 'NodeJs', 'Powershell Scripting', 'SQL', 'Statistics']",Naukri.com
Data Scientist,Sagility Health,Bengaluru,0-3 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-scientist-sagility-health-bengaluru-0-to-3-years-250624009083,"['modeling', 'analytical', 'data', 'languages', 'mathematics', 'big data technologies', 'verbal communication', 'machine learning']",Naukri.com
Life science-Data Scientist,Recruise India Consulting,Hybrid - Bengaluru,3-8 Yrs,18-25 Lacs PA,https://www.naukri.com/job-listings-life-science-data-scientist-recruise-india-consulting-bengaluru-3-to-8-years-230224006072,"['Artificial intelligeance', 'Machine Learning', 'Ml', 'Ai', 'Machine', 'Artificial Intelligence']",Naukri.com
Data Analyst,Wilatons,"Hyderabad, Pune, Bengaluru",0-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-wilatons-hyderabad-pune-bengaluru-0-to-5-years-210624908556,"['Data Science', 'Data Warehouse SQL', 'Data Analyst', 'python', 'data analysis', 'customer marketing', 'data cleaning', 'data mining']",Naukri.com
Data Analyst,Global Pharma Tek,Bengaluru,3-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-global-pharma-tek-bengaluru-3-to-5-years-221123501459,"['data science', 'Focus', 'Consulting', 'IT infrastructure', 'Programming', 'Data Analyst', 'Data analytics', 'Weaving']",Naukri.com
Data Analyst - US MNC (analytics),US MNC (Analytics),Hybrid - Bengaluru,3-8 Yrs,15-30 Lacs PA,https://www.naukri.com/job-listings-data-analyst-us-mnc-analytics-aspyra-hr-services-bengaluru-3-to-8-years-250624011216,"['SQL', 'Business Intelligence', 'hql', 'Business Analytics', 'Data Extraction', 'Data Mining', 'SQL Queries', 'Data Cleansing']",Naukri.com
Data Analyst,Xpheno,Bengaluru,2-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-xpheno-bengaluru-2-to-5-years-100123500225,"['Automation', 'data science', 'Life sciences', 'Data analytics', 'microsoft', 'Oracle', 'Operations', 'Bioinformatics']",Naukri.com
"SENIOR, DATA SCIENTIST",Walmart,Bengaluru,2-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-senior-data-scientist-walmart-labs-bengaluru-2-to-4-years-130624501374,"['Networking', 'data science', 'Machine learning', 'SEZ', 'big data', 'Information technology', 'Statistics', 'Monitoring']",Naukri.com
S&C Global Network - AI - Life Sciences -Data Science Associate,Accenture,Bengaluru,2-6 Yrs,Not disclosed,https://www.naukri.com/job-listings-s-c-global-network-ai-life-sciences-data-science-associate-accenture-solutions-pvt-ltd-bengaluru-2-to-6-years-110624910878,"['microsoft azure', 'sql', 'qlikview', 'spark', 'aws', 'python', 'data management', 'spotfire']",Naukri.com
Python Data Science,Infosys,"Hybrid - Hyderabad, Chennai, Bengaluru",3-8 Yrs,Not disclosed,https://www.naukri.com/job-listings-python-data-science-infosys-hyderabad-chennai-bengaluru-3-to-8-years-060324008569,"['Data Science', 'Python', 'SQL', 'Data', 'Science', 'Python Data']",Naukri.com
Data Science Analytics,Electrobrain modern technologies pvt ltd (More Jobs),"Ahmedabad, Bengaluru / Bangalore, Chennai, Delhi, Gurgaon",3 - 8 yrs,"₹
Rs 5.15 - 9.55 Lacs p.a.",https://www.timesjobs.com/job-detail/data-science-analytics-electrobrain-modern-technologies-pvt-ltd-ahmedabad-bengaluru-bangalore-chennai-delhi-gurgaon-3-to-8-yrs-jobid-y__SLASH__7oqN1zYNdzpSvf__PLUS__uAgZw==&source=srp,"Data Analysis , deploying models , github , python , continuous integration , hive , agile methodology , azure machine learning , pyspark",Timesjobs
