,title,company,location,experience,salary,url,tags,source,index
27,Data Scientist,Jio,"Bengaluru East, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-scientist-at-jio-3947784725?position=19&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=0uWIJynuDuqoeipuR9SFPw%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,28
28,Data Analyst,Allica Bank,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-analyst-at-allica-bank-3951177342?position=20&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=djvqIflSQWUFiux0s43ilg%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,29
29,Data Analyst 2,Epsilon India,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-analyst-2-at-epsilon-india-3942062285?position=21&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=%2F%2Bkxz05nkQnTRVewKo9wiw%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,30
30,ML Engineer - Bangalore - Immediate Joiner,UST,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/ml-engineer-bangalore-immediate-joiner-at-ust-3757672247?position=22&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=6vVVq1uKhD89VL5KZsWa7g%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,31
31,Data Scientist,Equifax,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-scientist-at-equifax-3945503465?position=23&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=jOS29PCopq6bu5krBsAkAg%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,32
32,Data Analyst,nference,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-analyst-at-nference-3961123874?position=24&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=0ZTwFOgaHfQ1c9Sk6CcAIg%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,33
33,Machine Learning Engineer,Kuku FM,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/machine-learning-engineer-at-kuku-fm-3960327048?position=25&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=p6GnkKubx1WGwdGSew4%2B%2Bg%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,34
34,Machine Learning Engineer,Kuku FM,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/machine-learning-engineer-at-kuku-fm-3960328015?position=26&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=RNvRoBRL%2BZpDA5HaIGI5Ag%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,35
35,Data Scientist,LSEG (London Stock Exchange Group),"Bengaluru East, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-scientist-at-lseg-london-stock-exchange-group-3941342141?position=27&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=oUIEY6pteYC1HSftIQusAQ%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,36
36,Data Scientist (Time Series Analysis),Quantzig,"Bengaluru, Karnataka, India",4-8 years,,https://in.linkedin.com/jobs/view/data-scientist-time-series-analysis-at-quantzig-3957875704?position=28&pageNum=0&refId=rLqIWNp%2F48O%2Bl9Rt2%2B9ZSg%3D%3D&trackingId=KPXyyND0s3y%2Bm3PPKxYnvg%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin,37
